abilities,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water,attack,base_egg_steps,base_happiness,base_total,capture_rate,classfication,defense,experience_growth,height_m,hp,japanese_name,name,percentage_male,pokedex_number,sp_attack,sp_defense,speed,type1,type2,weight_kg,generation,is_legendary
['Intimidate'; 'Quick Feet'; 'Moxie'],2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1,90,3840,70,420,127,Bite PokÃ©mon,70,1000000,1,70,Graenaã‚°ãƒ©ã‚¨ãƒŠ,Mightyena,50,262,60,60,70,dark,,37,3,0
['Pickup'; 'Gluttony'; 'Quick Feet'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,30,3840,70,240,255,Tiny Racoon PokÃ©mon,41,1000000,0.4,38,Jiguzagumaã‚¸ã‚°ã‚¶ã‚°ãƒž,Zigzagoon,50,263,30,41,60,normal,,17.5,3,0
['Pickup'; 'Gluttony'; 'Quick Feet'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,70,3840,70,420,90,Rush PokÃ©mon,61,1000000,0.5,78,Massugumaãƒžãƒƒã‚¹ã‚°ãƒž,Linoone,50,264,50,61,100,normal,,32.5,3,0
['Shield Dust'; 'Run Away'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,45,3840,70,195,255,Worm PokÃ©mon,35,1000000,0.3,45,Kemussoã‚±ãƒ ãƒƒã‚½,Wurmple,50,265,20,30,20,bug,,3.6,3,0
['Shed Skin'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,35,3840,70,205,120,Cocoon PokÃ©mon,55,1000000,0.6,50,Karasalisã‚«ãƒ©ã‚µãƒªã‚¹,Silcoon,50,266,25,25,15,bug,,10,3,0
['Swarm'; 'Rivalry'],0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,70,3840,70,395,45,Butterfly PokÃ©mon,50,1000000,1,60,Agehuntã‚¢ã‚²ãƒãƒ³ãƒˆ,Beautifly,50,267,100,50,65,bug,flying,28.4,3,0
['Shed Skin'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,35,3840,70,205,120,Cocoon PokÃ©mon,55,1000000,0.7,50,Mayuldãƒžãƒ¦ãƒ«ãƒ‰,Cascoon,50,268,25,25,15,bug,,11.5,3,0
['Shield Dust'; 'Compoundeyes'],0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1,50,3840,70,385,45,Poison Moth PokÃ©mon,70,1000000,1.2,60,Dokucaleãƒ‰ã‚¯ã‚±ã‚¤ãƒ«,Dustox,50,269,50,90,65,bug,poison,31.6,3,0
['Swift Swim'; 'Rain Dish'; 'Own Tempo'],2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,30,3840,70,220,255,Water Weed PokÃ©mon,30,1059860,0.5,40,Hassbohãƒã‚¹ãƒœãƒ¼,Lotad,50,270,40,50,30,water,grass,2.6,3,0
['Swift Swim'; 'Rain Dish'; 'Own Tempo'],2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,50,3840,70,340,120,Jolly PokÃ©mon,50,1059860,1.2,60,Hasubreroãƒã‚¹ãƒ–ãƒ¬ãƒ­,Lombre,50,271,60,70,50,water,grass,32.5,3,0
['Swift Swim'; 'Rain Dish'; 'Own Tempo'],2,1,1,1,1,1,1,2,1,1,0.5,1,1,2,1,1,0.5,0.25,70,3840,70,480,45,Carefree PokÃ©mon,70,1059860,1.5,80,Runpappaãƒ«ãƒ³ãƒ‘ãƒƒãƒ‘,Ludicolo,50,272,90,100,70,water,grass,55,3,0
['Chlorophyll'; 'Early Bird'; 'Pickpocket'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,40,3840,70,220,255,Acorn PokÃ©mon,50,1059860,0.5,40,Tanebohã‚¿ãƒãƒœãƒ¼,Seedot,50,273,30,30,30,grass,,4,3,0
['Chlorophyll'; 'Early Bird'; 'Pickpocket'],4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,70,3840,70,340,120,Wily PokÃ©mon,40,1059860,1,70,Konohanaã‚³ãƒŽãƒãƒŠ,Nuzleaf,50,274,60,40,60,grass,dark,28,3,0
['Chlorophyll'; 'Early Bird'; 'Pickpocket'],4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,100,3840,70,480,45,Wickid PokÃ©mon,60,1059860,1.3,90,Dirtengãƒ€ãƒ¼ãƒ†ãƒ³ã‚°,Shiftry,50,275,90,60,80,grass,dark,59.6,3,0
['Guts'; 'Scrappy'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,55,3840,70,270,200,TinySwallow PokÃ©mon,30,1059860,0.3,40,Subameã‚¹ãƒãƒ¡,Taillow,50,276,30,30,85,normal,flying,2.3,3,0
['Guts'; 'Scrappy'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,85,3840,70,455,45,Swallow PokÃ©mon,60,1059860,0.7,60,Ohsubameã‚ªã‚ªã‚¹ãƒãƒ¡,Swellow,50,277,75,50,125,normal,flying,19.8,3,0
['Keen Eye'; 'Hydration'; 'Rain Dish'],0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,30,5120,70,270,190,Seagull PokÃ©mon,30,1000000,0.6,40,Camomeã‚­ãƒ£ãƒ¢ãƒ¡,Wingull,50,278,55,30,85,water,flying,9.5,3,0
['Keen Eye'; 'Drizzle'; 'Rain Dish'],0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5,50,5120,70,440,45,Water Bird PokÃ©mon,100,1000000,1.2,60,Pelipperãƒšãƒªãƒƒãƒ‘ãƒ¼,Pelipper,50,279,95,70,65,water,flying,28,3,0
['Synchronize'; 'Trace'; 'Telepathy'],1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,25,5120,35,198,235,Feeling PokÃ©mon,25,1250000,0.4,28,Raltsãƒ©ãƒ«ãƒˆã‚¹,Ralts,50,280,45,35,40,psychic,fairy,6.6,3,0
['Synchronize'; 'Trace'; 'Telepathy'],1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,35,5120,35,278,120,Emotion PokÃ©mon,35,1250000,0.8,38,Kirliaã‚­ãƒ«ãƒªã‚¢,Kirlia,50,281,65,55,50,psychic,fairy,20.2,3,0
['Synchronize'; 'Trace'; 'Telepathy'],1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1,85,5120,35,618,45,Embrace PokÃ©mon,65,1250000,1.6,68,Sirnightã‚µãƒ¼ãƒŠã‚¤ãƒˆ,Gardevoir,50,282,165,135,100,psychic,fairy,48.4,3,0
['Swift Swim'; 'Rain Dish'],1,1,1,2,1,0.5,1,2,1,1,0.5,0.5,1,1,1,2,0.5,0.5,30,3840,70,269,200,Pond Skater PokÃ©mon,32,1000000,0.5,40,Ametamaã‚¢ãƒ¡ã‚¿ãƒž,Surskit,50,283,50,52,65,bug,water,1.7,3,0
['Intimidate'; 'Unnerve'],0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,60,3840,70,454,75,Eyeball PokÃ©mon,62,1000000,0.8,70,Amemothã‚¢ãƒ¡ãƒ¢ãƒ¼ã‚¹,Masquerain,50,284,100,82,80,bug,flying,3.6,3,0
['Effect Spore'; 'Poison Heal'; 'Quick Feet'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,40,3840,70,295,255,Mushroom PokÃ©mon,60,1640000,0.4,60,Kinococoã‚­ãƒŽã‚³ã‚³,Shroomish,50,285,40,60,35,grass,,4.5,3,0
['Effect Spore'; 'Poison Heal'; 'Technician'],1,0.5,1,0.5,2,1,2,4,1,0.5,0.5,2,1,2,2,0.5,1,0.5,130,3840,70,460,90,Mushroom PokÃ©mon,80,1640000,1.2,60,Kinogassaã‚­ãƒŽã‚¬ãƒƒã‚µ,Breloom,50,286,60,60,70,grass,fighting,39.2,3,0
['Truant'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,3840,70,280,255,Slacker PokÃ©mon,60,1250000,0.8,60,NamakeroãƒŠãƒžã‚±ãƒ­,Slakoth,50,287,35,35,30,normal,,24,3,0
['Vital Spirit'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,80,3840,70,440,120,Wild Monkey PokÃ©mon,80,1250000,1.4,80,Yarukimonoãƒ¤ãƒ«ã‚­ãƒ¢ãƒŽ,Vigoroth,50,288,55,55,90,normal,,46.5,3,0
['Truant'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,160,3840,70,670,45,Lazy PokÃ©mon,100,1250000,2,150,Kekkingã‚±ãƒƒã‚­ãƒ³ã‚°,Slaking,50,289,95,65,100,normal,,130.5,3,0
['Compoundeyes'; 'Run Away'],1,1,1,0,1,0.5,2,2,1,1,0.5,2,1,0.5,1,1,1,2,45,3840,70,266,255,Trainee PokÃ©mon,90,600000,0.5,31,Tutininãƒ„ãƒãƒ‹ãƒ³,Nincada,50,290,30,30,40,bug,ground,5.5,3,0
['Speed Boost'; 'Infiltrator'],0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1,90,3840,70,456,120,Ninja PokÃ©mon,45,600000,0.8,61,Tekkaninãƒ†ãƒƒã‚«ãƒ‹ãƒ³,Ninjask,50,291,50,50,160,bug,flying,12,3,0
['Wonder Guard'],0.5,2,1,1,1,0,2,2,2,0.5,0.5,1,0,0.5,1,2,1,1,90,3840,70,236,45,Shed PokÃ©mon,45,600000,0.8,1,NukeninãƒŒã‚±ãƒ‹ãƒ³,Shedinja,,292,30,30,40,bug,ghost,1.2,3,0
['Soundproof'; 'Rattled'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,51,5120,70,240,190,Whisper PokÃ©mon,23,1059860,0.6,64,Gonyonyoã‚´ãƒ‹ãƒ§ãƒ‹ãƒ§,Whismur,50,293,51,23,28,normal,,16.3,3,0
['Soundproof'; 'Scrappy'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,71,5120,70,360,120,Big Voice PokÃ©mon,43,1059860,1,84,Dogohmbãƒ‰ã‚´ãƒ¼ãƒ ,Loudred,50,294,71,43,48,normal,,40.5,3,0
['Soundproof'; 'Scrappy'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,91,5120,70,490,45,Loud Noise PokÃ©mon,63,1059860,1.5,104,Bakuongãƒã‚¯ã‚ªãƒ³ã‚°,Exploud,50,295,91,73,68,normal,,84,3,0
['Thick Fat'; 'Guts'; 'Sheer Force'],0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,60,5120,70,237,180,Guts PokÃ©mon,30,1640000,1,72,Makunoshitaãƒžã‚¯ãƒŽã‚·ã‚¿,Makuhita,75.4,296,20,30,25,fighting,,86.4,3,0
['Thick Fat'; 'Guts'; 'Sheer Force'],0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1,120,5120,70,474,200,Arm Thrust PokÃ©mon,60,1640000,2.3,144,Hariteyamaãƒãƒªãƒ†ãƒ¤ãƒž,Hariyama,75.4,297,40,60,50,fighting,,253.8,3,0
['Thick Fat'; 'Huge Power'; 'Sap Sipper'],0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1,20,2560,70,190,150,Polka Dot PokÃ©mon,40,800000,0.2,50,Ruririãƒ«ãƒªãƒª,Azurill,24.6,298,20,40,20,normal,fairy,2,3,0
['Sturdy'; 'Magnet Pull'; 'Sand Force'],1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2,45,5120,70,375,255,Compass PokÃ©mon,135,1000000,1,30,NosepassãƒŽã‚ºãƒ‘ã‚¹,Nosepass,50,299,45,90,30,rock,,97,3,0
['Cute Charm'; 'Normalize'; 'Wonder Skin '],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,45,3840,70,260,255,Kitten PokÃ©mon,45,800000,0.6,50,Enecoã‚¨ãƒã‚³,Skitty,24.6,300,35,35,50,normal,,11,3,0
['Cute Charm'; 'Normalize'; 'Wonder Skin '],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,65,3840,70,400,60,Prim PokÃ©mon,65,800000,1.1,70,Enekororoã‚¨ãƒã‚³ãƒ­ãƒ­,Delcatty,24.6,301,55,55,90,normal,,32.6,3,0
['Keen Eye'; 'Stall'; 'Prankster'],1,1,1,1,2,0,1,1,1,1,1,1,0,0.5,0,1,1,1,85,6400,35,480,45,Darkness PokÃ©mon,125,1059860,0.5,50,Yamiramiãƒ¤ãƒŸãƒ©ãƒŸ,Sableye,50,302,85,115,20,dark,ghost,11,3,0
['Hyper Cutter'; 'Intimidate'; 'Sheer Force'],0.25,0.5,0,1,0.5,1,2,0.5,1,0.5,2,0.5,0.5,0,0.5,0.5,1,1,105,5120,70,480,45,Deceiver PokÃ©mon,125,800000,0.6,50,Kucheatã‚¯ãƒãƒ¼ãƒˆ,Mawile,50,303,55,95,50,steel,fairy,11.5,3,0
['Sturdy'; 'Rock Head'; 'Heavy Metal'],0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,70,8960,35,330,180,Iron Armor PokÃ©mon,100,1250000,0.4,50,Cokodoraã‚³ã‚³ãƒ‰ãƒ©,Aron,50,304,40,40,30,steel,rock,60,3,0
['Sturdy'; 'Rock Head'; 'Heavy Metal'],0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,90,8960,35,430,90,Iron Armor PokÃ©mon,140,1250000,0.9,60,Kodoraã‚³ãƒ‰ãƒ©,Lairon,50,305,50,50,40,steel,rock,120,3,0
['Sturdy'; 'Rock Head'; 'Heavy Metal'],0.5,1,0.5,1,0.5,4,1,0.25,1,1,4,0.5,0.25,0,0.5,0.5,1,2,140,8960,35,630,45,Iron Armor PokÃ©mon,230,1250000,2.1,70,Bossgodoraãƒœã‚¹ã‚´ãƒ‰ãƒ©,Aggron,50,306,60,80,50,steel,rock,360,3,0
['Pure Power'; 'Telepathy'],1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1,40,5120,70,280,180,Meditate PokÃ©mon,55,1000000,0.6,30,Asananã‚¢ã‚µãƒŠãƒ³,Meditite,50,307,40,55,60,fighting,psychic,11.2,3,0
['Pure Power'; 'Telepathy'],1,1,1,1,2,0.5,1,2,2,1,1,1,1,1,1,0.5,1,1,100,5120,70,510,90,Meditate PokÃ©mon,85,1000000,1.3,60,Charemãƒãƒ£ãƒ¼ãƒ¬ãƒ ,Medicham,50,308,80,85,100,fighting,psychic,31.5,3,0
['Static'; 'Lightningrod'; 'Minus'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,45,5120,70,295,120,Lightning PokÃ©mon,40,1250000,0.6,40,Rakuraiãƒ©ã‚¯ãƒ©ã‚¤,Electrike,50,309,65,40,65,electric,,15.2,3,0
['Static'; 'Lightningrod'; 'Minus'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,75,5120,70,575,45,Discharge PokÃ©mon,80,1250000,1.5,70,Livoltãƒ©ã‚¤ãƒœãƒ«ãƒˆ,Manectric,50,310,135,80,135,electric,,40.2,3,0
['Plus'; 'Lightningrod'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,50,5120,70,405,200,Cheering PokÃ©mon,40,1000000,0.4,60,Prasleãƒ—ãƒ©ã‚¹ãƒ«,Plusle,50,311,85,75,95,electric,,4.2,3,0
['Minus'; 'Volt Absorb'],1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,40,5120,70,405,200,Cheering PokÃ©mon,50,1000000,0.4,60,Minunãƒžã‚¤ãƒŠãƒ³,Minun,50,312,75,85,95,electric,,4.2,3,0
['Illuminate'; 'Swarm'; 'Prankster'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,73,3840,70,430,150,Firefly PokÃ©mon,75,600000,0.7,65,Barubeatãƒãƒ«ãƒ“ãƒ¼ãƒˆ,Volbeat,100,313,47,85,85,bug,,17.7,3,0
['Oblivious'; 'Tinted Lens'; 'Prankster'],1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1,47,3840,70,430,150,Firefly PokÃ©mon,75,1640000,0.6,65,Illumiseã‚¤ãƒ«ãƒŸãƒ¼ã‚¼,Illumise,0,314,73,85,85,bug,,17.7,3,0
['Natural Cure'; 'Poison Point'; 'Leaf Guard'],1,1,1,0.5,0.5,0.5,2,2,1,0.25,1,2,1,1,2,1,1,0.5,60,5120,70,400,150,Thorn PokÃ©mon,45,1059860,0.3,50,Roseliaãƒ­ã‚¼ãƒªã‚¢,Roselia,50,315,100,80,65,grass,poison,2,3,0
['Liquid Ooze'; 'Sticky Hold'; 'Gluttony'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,43,5120,70,302,225,Stomach PokÃ©mon,53,1640000,0.4,70,Gokulinã‚´ã‚¯ãƒªãƒ³,Gulpin,50,316,43,53,40,poison,,10.3,3,0
['Liquid Ooze'; 'Sticky Hold'; 'Gluttony'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,73,5120,70,467,75,Poison Bag PokÃ©mon,83,1640000,1.7,100,Marunoomãƒžãƒ«ãƒŽãƒ¼ãƒ ,Swalot,50,317,73,83,55,poison,,80,3,0
['Rough Skin'; 'Speed Boost'],2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5,90,5120,35,305,225,Savage PokÃ©mon,20,1250000,0.8,45,Kibanhaã‚­ãƒãƒ‹ã‚¢,Carvanha,50,318,65,20,65,water,dark,20.8,3,0
['Rough Skin'; 'Speed Boost'],2,0.5,1,2,2,2,0.5,1,0.5,2,1,0.5,1,1,0,1,0.5,0.5,140,5120,35,560,60,Brutal PokÃ©mon,70,1250000,1.8,70,Samehaderã‚µãƒ¡ãƒãƒ€ãƒ¼,Sharpedo,50,319,110,65,105,water,dark,88.8,3,0
['Water Veil'; 'Oblivious'; 'Pressure'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,70,10240,70,400,125,Ball Whale PokÃ©mon,35,1640000,2,130,Hoerukoãƒ›ã‚¨ãƒ«ã‚³,Wailmer,50,320,70,35,60,water,,130,3,0
['Water Veil'; 'Oblivious'; 'Pressure'],1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5,90,10240,70,500,60,Float Whale PokÃ©mon,45,1640000,14.5,170,Whalohãƒ›ã‚¨ãƒ«ã‚ªãƒ¼,Wailord,50,321,90,45,60,water,,398,3,0
['Oblivious'; 'Simple'; 'Own Tempo'],0.5,1,1,0,0.5,1,0.5,1,1,1,2,1,1,0.5,1,1,0.5,4,60,5120,70,305,255,Numb PokÃ©mon,40,1000000,0.7,60,Donmelãƒ‰ãƒ³ãƒ¡ãƒ«,Numel,50,322,65,45,35,fire,ground,24,3,0
['Magma Armor'; 'Solid Rock'; 'Anger Point'],0.5,1,1,0,0.5,1,0.5,1,1,1,2,1,1,0.5,1,1,0.5,4,120,5120,70,560,150,Eruption PokÃ©mon,100,1000000,1.9,70,Bakuudaãƒã‚¯ãƒ¼ãƒ€,Camerupt,50,323,145,105,20,fire,ground,220,3,0
['White Smoke'; 'Drought'; 'Shell Armor'],0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2,85,5120,70,470,90,Coal PokÃ©mon,140,1000000,0.5,70,Cotoiseã‚³ãƒ¼ã‚¿ã‚¹,Torkoal,50,324,85,70,20,fire,,80.4,3,0
['Thick Fat'; 'Own Tempo'; 'Gluttony'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,25,5120,70,330,255,Bounce PokÃ©mon,35,800000,0.7,60,Banebooãƒãƒãƒ–ãƒ¼,Spoink,50,325,70,80,60,psychic,,30.6,3,0
['Thick Fat'; 'Own Tempo'; 'Gluttony'],2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1,45,5120,70,470,60,Manipulate PokÃ©mon,65,800000,0.9,80,Boopigãƒ–ãƒ¼ãƒ”ãƒƒã‚°,Grumpig,50,326,90,110,80,psychic,,71.5,3,0
['Own Tempo'; 'Tangled Feet'; 'Contrary'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,60,3840,70,360,255,Spot Panda PokÃ©mon,60,800000,1.1,60,Patcheelãƒ‘ãƒƒãƒãƒ¼ãƒ«,Spinda,50,327,60,60,60,normal,,5,3,0
['Hyper Cutter'; 'Arena Trap'; 'Sheer Force'],1,1,1,0,1,1,1,1,1,2,1,2,1,0.5,1,0.5,1,2,100,5120,70,290,255,Ant Pit PokÃ©mon,45,1059860,0.7,45,NuckrarãƒŠãƒƒã‚¯ãƒ©ãƒ¼,Trapinch,50,328,45,45,10,ground,,15,3,0
['Levitate'],1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1,70,5120,70,340,120,Vibration PokÃ©mon,50,1059860,1.1,50,Vibravaãƒ“ãƒ–ãƒ©ãƒ¼ãƒ,Vibrava,50,329,50,50,70,ground,dragon,15.3,3,0
['Levitate'],1,1,2,0,2,1,0.5,1,1,1,1,4,1,0.5,1,0.5,1,1,100,5120,70,520,45,Mystic PokÃ©mon,80,1059860,2,80,Flygonãƒ•ãƒ©ã‚¤ã‚´ãƒ³,Flygon,50,330,80,80,100,ground,dragon,82,3,0
['Sand Veil'; 'Water Absorb'],2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5,85,5120,35,335,190,Cactus PokÃ©mon,40,1059860,0.4,50,Saboneaã‚µãƒœãƒã‚¢,Cacnea,50,331,85,40,35,grass,,51.3,3,0
['Sand Veil'; 'Water Absorb'],4,0.5,1,0.5,2,2,2,2,0.5,0.5,0.5,2,1,2,0,1,1,0.5,115,5120,35,475,60,Scarecrow PokÃ©mon,60,1059860,1.3,70,NoctusãƒŽã‚¯ã‚¿ã‚¹,Cacturne,50,332,115,60,55,grass,dark,77.4,3,0
['Natural Cure'; 'Cloud Nine'],0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1,40,5120,70,310,255,Cotton Bird PokÃ©mon,60,600000,0.4,45,Tylttoãƒãƒ«ãƒƒãƒˆ,Swablu,50,333,40,75,50,normal,flying,1.2,3,0
['Natural Cure'; 'Cloud Nine'],0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5,110,5120,70,590,45,Humming PokÃ©mon,110,600000,1.1,75,Tyltalisãƒãƒ«ã‚¿ãƒªã‚¹,Altaria,50,334,110,105,80,dragon,flying,20.6,3,0
['Immunity'; 'Toxic Boost'],1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1,115,5120,70,458,90,Cat Ferret PokÃ©mon,60,600000,1.3,73,Zangooseã‚¶ãƒ³ã‚°ãƒ¼ã‚¹,Zangoose,50,335,60,60,90,normal,,40.3,3,0
['Shed Skin'; 'Infiltrator'],0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1,100,5120,70,458,90,Fang Snake PokÃ©mon,60,1640000,2.7,73,Habunakeãƒãƒ–ãƒãƒ¼ã‚¯,Seviper,50,336,100,60,65,poison,,52.5,3,0
